,,"Note 1: RHBN-N = 1, RHBN-U = 0","Note 2: Q=flow gauge, H=level gauge","Note 3: Yield is the annual average depth of water, in mm, that exits the watershed via the streamgauge location. Also called 'runoff depth'.","Note 4: Official names for the Commission for Environmental Cooperation Terrestrial Ecoregions Level I. Common names are as follows: Northwestern Forested Mountains = Rockies, Northern Forests = Boreal, Great Plains = Prairies.","Note 5: Whether the station met the minimum of 20 years with C = continuous, or full year, data, or with S = seasonal data.",Note 6: Years with less than 5% missing daily data.,Note 6: Years with less than 5% missing daily data.,Note 7: Overal watershed quality where 1 is the most desirable.,Note 8: Percent of the watershed covered by either urban or agricultural land.,,Note 9: Road density as km of roads for each km^2 of watershed.,"Note 10: Canadian population density. ""US"" denotes stations that have watershed areas outside of Canada.",Note 11: Flow structures include small dams/berms/farm ponds in Canada and the US.,Note 12: Percentage of watershed covered by reservoir area associated with Flow.Structures.,Note 13: Presence and name of dam within the Global Reservoir and Dam database (GRanD).
02PD013,2020,0,Q,1000,Northern Forests,C,40,4,1,0,0,0.73,1,2,0.015,
02PD014,2020,0,Q,950,Northern Forests,C,29,7,1,0,0,0,1,0,0,
02PD015,2020,0,Q,1000,Northern Forests,C,24,2,1,0,0,0.74,1,1,0,
02PE014,2020,0,Q,740,Eastern Temperate Forests,C,30,5,3,36,0,0.18,57,0,0,
02PG006,2020,0,Q,600,Northern Forests,C,34,1,1,0.45,0,0.23,2,6,0.064,
02PG022,2020,0,Q,610,Northern Forests,C,29,2,2,0.02,0.02,0.23,35,8,0.77,
02PJ007,2020,1,Q,610,Eastern Temperate Forests,C,78,1,3,13,0,0.74,29,3,0.006,
02PJ030,2020,0,Q,670,Northern Forests,C,46,1,1,0,0,0.64,13,0,0,
02PL005,2020,0,Q,740,Northern Forests,C,44,1,1,2.6,2.5,0.96,38,2,0.009,
02QA002,2020,1,Q,610,Northern Forests,C,49,1,2,0.082,0,0.28,35,8,0.96,
02QC009,2020,0,Q,920,Northern Forests,C,37,3,1,0,0,0.14,1,0,0,
02RC011,2020,0,Q,590,Northern Forests,C,37,1,1,0.059,0,0.17,2,2,0,
02RD003,2020,0,Q,650,Northern Forests,C,48,6,1,0,0,0.068,1,1,0,
02RF001,2020,1,Q,610,Northern Forests,C,50,10,2,0.081,0.0026,0.077,1,7,0.23,
02RF009,2020,0,Q,460,Northern Forests,C,21,3,1,2,0,0.19,23,1,0,
02RG005,2020,1,Q,660,Northern Forests,C,35,2,1,0,0,0.068,1,1,0,
02RH027,2020,0,Q,820,Northern Forests,C,39,1,2,0,0,0.22,1,4,1.5,
02RH035,2020,0,Q,780,Northern Forests,C,41,1,2,0,0,0.076,1,5,0.13,
02RH045,2020,0,Q,950,Northern Forests,C,38,1,2,0,0,0.25,23,2,0.14,
02UA003,2020,0,Q,830,Northern Forests,C,36,1,1,0,0,0.042,1,2,0.088,
02UC002,2020,1,Q,690,Northern Forests,C,43,3,1,0,0,0.005,1,3,0.03,
02VB004,2020,0,Q,730,Northern Forests,C,23,1,1,0,0,0,1,0,0,
02WB003,2020,1,Q,710,Northern Forests,C,31,1,1,0,0,0,1,0,0,
02XA003,2020,0,Q,660,Taiga,C,36,,1,0,0,0,1,0,0,
02XC001,2020,1,Q,820,Taiga,C,35,1,1,0,0,0,1,0,0,
02YA002,2020,0,Q,1300,Northern Forests,C,31,,1,0,0,0.091,1,0,0,
02YC001,2020,1,Q,1300,Northern Forests,C,57,,2,0,0,0.023,1,1,0.55,
02YD002,2020,0,Q,880,Northern Forests,C,37,,2,0,0,0.23,1,1,5.8,
02YE001,2020,0,Q,1500,Northern Forests,C,33,,1,0,0,0,1,0,0,
02YG001,2020,0,Q,1400,Northern Forests,C,31,,1,0,0,0.075,1,0,0,
02YJ001,2020,1,Q,1400,Northern Forests,C,48,1,2,0,0,0.14,2,5,0.26,
02YK002,2020,0,Q,1200,Northern Forests,C,54,,1,0,0,0,1,0,0,
02YK005,2020,0,Q,900,Northern Forests,C,44,1,1,0,0,0.11,1,0,0,
02YK008,2020,0,Q,810,Northern Forests,C,31,1,1,0,0,0.039,1,0,0,
02YL001,2020,1,Q,1200,Northern Forests,C,78,4,1,0,0,0.13,1,14,0.011,
02YL004,2020,0,Q,980,Northern Forests,C,34,,1,0.052,0.052,0.3,70,0,0,
02YL005,2020,0,Q,910,Northern Forests,C,32,,1,0,0,0.14,70,0,0,
02YL008,2020,0,Q,1800,Northern Forests,C,29,,1,0,0,0.076,1,0,0,
02YL011,2020,0,Q,1200,Northern Forests,C,22,,1,0,0,0.46,1,0,0,
02YM003,2020,1,Q,860,Northern Forests,C,37,,1,0,0,0.19,2,0,0,
02YM004,2020,0,Q,850,Northern Forests,C,27,,2,0,0,0.037,1,1,0.77,
02YN002,2020,0,Q,1400,Northern Forests,C,36,,1,0,0,0.008,1,0,0,
02YO006,2020,0,Q,800,Northern Forests,C,36,,1,0,0,0.21,3,1,0.073,
02YO008,2020,0,Q,880,Northern Forests,C,33,,2,0,0,0.068,1,8,0.33,
02YO012,2020,0,Q,790,Northern Forests,C,28,,1,0,0,0.54,23,0,0,
02YQ001,2020,1,Q,860,Northern Forests,C,67,,2,0.062,0.062,0.073,2,12,0.37,
02YQ005,2020,0,Q,1000,Northern Forests,C,30,,1,0,0,0.021,1,0,0,
02YR001,2020,1,Q,810,Northern Forests,C,57,1,1,0,0,0.074,1,0,0,
02YR003,2020,0,Q,750,Northern Forests,C,36,,2,0,0,0.053,1,6,3.4,
02YS003,2020,1,Q,860,Northern Forests,C,49,,1,0,0,0.038,1,0,0,
02YS005,2020,0,Q,780,Northern Forests,C,32,,2,0,0,0.03,1,9,1.7,
02YS006,2020,0,Q,960,Northern Forests,C,22,,1,0,0,0.017,1,0,0,
02ZA002,2020,0,Q,1200,Northern Forests,C,35,,1,0,0,0.34,1,0,0,
02ZB001,2020,1,Q,2100,Northern Forests,C,54,,1,0,0,0.008,1,0,0,
02ZC002,2020,0,Q,1800,Northern Forests,C,35,,1,0,0,0.083,1,0,0,
02ZD002,2020,0,Q,1300,Northern Forests,C,37,1,2,0,0,0.006,1,1,22,
02ZE004,2020,0,Q,1100,Northern Forests,C,27,1,1,0,0,0.14,1,0,0,
02ZF001,2020,1,Q,1100,Northern Forests,C,64,1,1,0,0,0,1,0,0,
02ZG001,2020,1,Q,1400,Northern Forests,C,58,,1,0,0,0.044,1,0,0,
02ZG003,2020,0,Q,1300,Northern Forests,C,37,,1,0,0,0,1,0,0,
02ZG004,2020,0,Q,1500,Northern Forests,C,36,,1,0,0,0.16,1,0,0,
02ZH001,2020,1,Q,1000,Northern Forests,C,64,,1,0,0,0.009,1,0,0,
02ZH002,2020,1,Q,1700,Northern Forests,C,48,,1,0,0,0.5,2,0,0,
02ZJ001,2020,1,Q,1000,Northern Forests,C,40,1,1,0,0,0.29,1,0,0,
02ZJ002,2020,0,Q,1100,Northern Forests,C,34,,1,0,0,0.15,2,0,0,
02ZJ003,2020,0,Q,1100,Northern Forests,C,31,,1,0,0,0.12,2,0,0,
02ZK001,2020,1,Q,1200,Northern Forests,C,67,,1,0,0,0.29,35,0,0,
02ZK002,2020,0,Q,1400,Northern Forests,C,38,,1,0,0,0.27,1,0,0,
02ZK003,2020,0,Q,1300,Northern Forests,C,34,,1,0,0,0.016,2,0,0,
02ZK004,2020,0,Q,1600,Northern Forests,C,34,,1,0,0,0.016,1,0,0,
02ZL004,2020,0,Q,950,Northern Forests,C,34,,2,0,0,1,30,0,0,
02ZL005,2020,0,Q,1200,Northern Forests,C,32,,1,0,0,0.049,1,0,0,
02ZM006,2020,1,Q,1200,Northern Forests,C,63,1,1,0,0,0.46,46,0,0,
02ZM009,2020,0,Q,1700,Northern Forests,C,37,1,1,0,0,0.11,2,0,0,
02ZM016,2020,0,Q,1400,Northern Forests,C,34,,1,0,0,0.77,42,0,0,
02ZN002,2020,0,Q,1600,Northern Forests,C,32,,1,0,0,0.1,1,0,0,
03AB002,2020,0,Q,590,Northern Forests,C,35,5,1,0.015,0.015,0.05,1,5,0,
03AC004,2020,0,Q,550,Northern Forests,C,43,4,1,0.018,0.018,0.078,1,10,0.037,
03BD002,2020,0,Q,570,Northern Forests,C,28,2,1,0,0,0.023,1,0,0,
03BF001,2020,1,Q,530,Hudson Plains,C,29,5,1,0.021,0.021,0.031,1,0,0,
03ED001,2020,0,Q,470,Taiga,C,41,3,2,0,0,0.001,1,8,12,Laforge 2
03FA003,2020,1,Q,660,Taiga,C,32,3,1,0,0,0,1,0,0,
03KC004,2020,1,Q,490,Taiga,C,30,4,1,0,0,0,1,0,0,
03MB002,2020,1,Q,550,Taiga,C,40,1,1,0,0,0,1,0,0,
03MD001,2020,1,Q,700,Taiga,C,23,2,1,0,0,0,1,0,0,
03NF001,2020,1,Q,660,Taiga,C,37,,1,0,0,0,1,0,0,
03OC003,2020,1,Q,620,Taiga,S,22,4,1,0,0,0,1,0,0,
03OE010,2020,0,Q,760,Northern Forests,C,23,,1,0,0,0.019,1,0,0,
03QC001,2020,1,Q,730,Taiga,C,46,1,1,0,0,0.012,1,0,0,
03QC002,2020,1,Q,720,Northern Forests,C,39,,1,0,0,0,1,0,0,
04AA004,2020,0,Q,150,Northern Forests,C,30,1,1,0,0,0.024,1,0,0,
04AB001,2020,0,Q,190,Northern Forests,S,18,2,1,0.0005,0.0005,0.01,1,1,0,
04AD002,2020,1,Q,200,Northern Forests,C,23,1,1,0.00011,0.00011,0,1,1,0,
04CA002,2020,0,Q,240,Northern Forests,C,36,1,1,0.0011,0.0011,0.02,1,2,0,
04CA003,2020,0,Q,280,Northern Forests,C,36,2,1,0,0,0,1,0,0,
04CB001,2020,0,Q,270,Northern Forests,C,37,,1,0,0,0.017,1,0,0,
04DA001,2020,1,Q,310,Northern Forests,C,50,,1,0,0,0.016,1,0,0,
04DB001,2020,0,Q,300,Northern Forests,C,45,,1,0,0,0.044,1,0,0,
04DC001,2020,0,Q,280,Northern Forests,C,41,1,1,0,0,0.018,1,1,0,
04DC002,2020,1,Q,270,Hudson Plains,C,43,,1,0,0,0,1,0,0,
04EA001,2020,1,Q,280,Hudson Plains,C,30,1,1,0,0,0,1,0,0,
04FA001,2020,0,Q,310,Northern Forests,C,37,,2,0,0,0.046,1,1,0.12,
04FA003,2020,0,Q,330,Northern Forests,C,43,,1,0,0,0.018,1,0,0,
04FB001,2020,0,Q,320,Northern Forests,C,33,1,1,0,0,0.033,1,1,0.044,
04FC001,2020,1,Q,320,Northern Forests,C,45,,1,0,0,0.023,1,1,0.03,
04GA002,2020,1,Q,280,Northern Forests,C,41,3,1,0.018,0.018,0.005,1,0,0,
04GB004,2020,1,Q,320,Northern Forests,C,43,,1,0,0,0.12,1,0,0,
04GB005,2020,0,Q,270,Northern Forests,C,28,1,1,0,0,0.62,1,0,0,
04JC002,2020,1,Q,360,Northern Forests,C,66,,1,0,0,0.059,1,0,0,
04JD005,2020,0,Q,340,Northern Forests,C,49,,1,0,0,0.1,1,0,0,
04JF001,2020,0,Q,310,Northern Forests,C,34,2,1,0,0,0.092,1,0,0,
04KA001,2020,1,Q,330,Hudson Plains,C,44,1,1,0,0,0,1,0,0,
04LJ001,2020,1,Q,370,Northern Forests,C,96,1,1,0,0,0.16,1,1,0,
04LM001,2020,0,Q,370,Northern Forests,C,43,,1,0.012,0.012,0.12,1,3,0,
04MD004,2020,0,Q,430,Northern Forests,C,26,1,1,0.29,0.29,0.29,26,0,0,
04MF001,2020,1,Q,460,Northern Forests,C,50,,1,0,0,0.008,1,0,0,
04NA001,2020,1,Q,500,Northern Forests,C,78,1,1,0.67,0.59,0.37,13,0,0,
05AA004,2020,0,Q,240,Northwest Forested Mountains,S,,72,4,30,0.93,0.55,3,3,0.54,
05AA008,2020,1,Q,380,Northwest Forested Mountains,C,61,15,1,1,1,0.5,3,5,0.025,
05AA011,2020,0,Q,400,Northwest Forested Mountains,S,2,36,1,0.2,0,0.28,1,1,0,
05AA022,2020,0,Q,600,Northwest Forested Mountains,C,69,2,1,0.27,0,0.2,1,0,0,
05AA028,2020,0,Q,700,Northwest Forested Mountains,S,,50,1,0,0,0.1,1,0,0,
05AA909,2020,0,Q,140,Northwest Forested Mountains,S,,28,1,0,0,0.21,1,0,0,
05AB005,2020,1,Q,64,Northwest Forested Mountains,S,,50,1,0.088,0,0.31,1,17,0,
05AB013,2020,0,Q,34,Great Plains,S,,55,1,9,0,0.34,1,26,0,
05AB029,2020,0,Q,31,Great Plains,S,,51,1,3.5,0,0.37,2,4,0,
05AC030,2020,0,Q,7.8,Great Plains,S,,35,3,98,0.29,0.82,50,25,0,
05AD003,2020,1,Q,930,Northwest Forested Mountains,C,86,4,1,0,0,0,71,1,0,
05AD035,2020,0,Q,14,Great Plains,S,,47,3,95,0,0.48,2,3,0,
05AE005,2020,0,Q,36,Great Plains,S,,86,3,94,0,0.33,71,13,0,
05AH037,2020,0,Q,18,Northwest Forested Mountains,S,,56,3,94,0,0.51,1,72,0,
05AH041,2020,1,Q,17,Northwest Forested Mountains,S,,53,3,14,0,0.33,1,227,0,
05AH047,2020,0,Q,3.3,Great Plains,S,,32,3,53,0,0.64,1,13,0,
05AH050,2020,0,Q,8.9,Northwest Forested Mountains,S,,29,3,63,0,0.42,1,257,0.09,
05BA001,2020,0,Q,790,Northwest Forested Mountains,C,27,32,1,0,0,0.13,1,0,0,
05BB001,2020,1,Q,560,Northwest Forested Mountains,C,106,,1,0.018,0.018,0.16,35,3,0,
05BG006,2020,0,Q,200,Northern Forests,C,47,4,1,0,0,0.093,1,0,0,
05BH013,2020,0,Q,300,Northwest Forested Mountains,S,,38,1,0,0,0.21,1,0,0,
05BJ004,2020,0,Q,340,Northwest Forested Mountains,C,38,29,1,0,0,0.2,2,4,0.009,
05BJ010,2020,0,Q,260,Northwest Forested Mountains,S,9,22,3,16,1,0.64,48,10,0.006,
05BK001,2020,0,Q,100,Northern Forests,S,11,58,1,0.7,0,0.61,66,12,0.033,
05BL013,2020,0,Q,130,Northern Forests,S,,56,1,1.5,0,0.42,23,25,0.001,
05BL014,2020,0,Q,270,Northwest Forested Mountains,C,46,6,1,5.2,0.083,0.3,62,5,0,
05BL019,2020,0,Q,370,Northwest Forested Mountains,S,,65,1,0,0,0.15,1,0,0,
05BL022,2020,1,Q,370,Northwest Forested Mountains,C,44,5,1,0,0,0.26,1,0,0,
05BL023,2020,1,Q,140,Great Plains,S,,49,3,16,0,0.16,1,4,0,
05BL027,2020,0,Q,330,Northwest Forested Mountains,S,,37,1,0,0,0,1,0,0,
05BM014,2020,1,Q,11,Great Plains,S,,50,3,100,0.068,0.85,23,28,0,
05BM018,2020,0,Q,18,Great Plains,S,,29,3,100,0,0.86,2,1,0,
05CA002,2020,0,Q,180,Northern Forests,S,1,48,1,0.31,0,0.42,1,3,0,
05CA004,2020,0,Q,380,Northwest Forested Mountains,S,,47,1,0,0,0.02,1,0,0,
05CA009,2020,1,Q,300,Northwest Forested Mountains,C,42,,1,0,0,0.079,1,0,0,
05CA011,2020,0,Q,140,Northern Forests,S,,29,1,1.5,0,0.73,23,0,0,
05CA012,2020,0,Q,180,Northern Forests,S,,25,1,0.0041,0,0.34,2,4,0,
05CB001,2020,0,Q,58,Great Plains,C,56,,3,59,0.16,0.83,62,20,0,
05CB002,2020,0,Q,140,Northern Forests,S,,52,1,0,0,0.29,1,0,0,
05CB004,2020,0,Q,110,Northern Forests,C,45,,3,33,0,0.75,35,1,0,
05CC001,2020,0,Q,50,Northern Forests,C,53,9,3,59,0.062,0.95,66,0,0,
05CC007,2020,0,Q,68,Northern Forests,C,42,12,3,45,0,0.89,42,3,0.011,
05CC008,2020,0,Q,100,Northern Forests,S,,49,3,22,0,0.76,23,0,0,
05CC009,2020,0,Q,78,Northern Forests,S,,50,3,27,0,0.9,23,0,0,
05CC010,2020,1,Q,86,Northern Forests,S,,38,1,3.4,0,0.97,23,0,0,
05CC011,2020,0,Q,24,Great Plains,S,,32,4,97,3.8,1.8,7,3,0.004,
05CD006,2020,0,Q,15,Great Plains,S,,38,3,100,0,0.93,35,0,0,
05CD007,2020,0,Q,22,Great Plains,S,,33,3,94,0,0.98,50,2,0.08,
05CE002,2020,0,Q,12,Great Plains,S,,65,3,100,0.016,0.99,35,91,0.004,
05CE006,2020,0,Q,13,Great Plains,S,,60,4,99,0.081,1.1,16,33,0.001,
05CE010,2020,0,Q,32,Great Plains,S,,41,3,99,0,0.85,35,0,0,
05CE011,2020,0,Q,17,Great Plains,S,,43,3,100,0,0.85,2,9,0,
05CE018,2020,0,Q,21,Great Plains,S,,43,3,94,0,0.84,35,0,0,
05CE020,2020,0,Q,7.2,Great Plains,S,,34,3,98,0,0.85,2,55,0,
05CG004,2020,0,Q,7.5,Great Plains,S,,37,3,94,0,0.84,2,24,0,
05CG006,2020,0,Q,11,Great Plains,S,,31,3,89,0,0.72,1,18,0,
05CK001,2020,0,Q,2.5,Great Plains,S,,51,1,0.74,0,0.33,1,64,0.029,
05CK005,2020,0,Q,1.9,Great Plains,S,,54,1,4.6,0,0.42,1,16,0,
05DA007,2020,1,Q,810,Northwest Forested Mountains,C,49,3,1,0,0,0.1,1,0,0,
05DA009,2020,1,Q,870,Northwest Forested Mountains,C,46,1,1,0,0,0.056,1,0,0,
05DA010,2020,1,Q,650,Northwest Forested Mountains,C,44,1,1,0,0,0.067,1,0,0,
05DB002,2020,0,Q,170,Northern Forests,C,55,12,1,0.042,0,0.42,2,0,0,
05DB005,2020,0,Q,210,Northern Forests,S,,44,1,0,0,0.19,1,0,0,
05DB006,2020,0,Q,240,Northern Forests,C,41,,1,0.77,0,0.21,1,1,0,
05DC006,2020,0,Q,260,Northern Forests,C,41,9,1,0,0,0.069,1,0,0,
05DC011,2020,0,Q,210,Northern Forests,S,,41,1,0,0,0.036,1,0,0,
05DC012,2020,0,Q,150,Northern Forests,C,31,,1,0,0,0.37,2,0,0,
05DD004,2020,1,Q,290,Northern Forests,S,,41,1,0,0,0.21,1,0,0,
05DD007,2020,0,Q,460,Northwest Forested Mountains,S,,44,1,0,0,0.037,1,0,0,
05DD009,2020,0,Q,180,Northern Forests,C,44,,1,0,0,0.27,1,0,0,
05DE007,2020,1,Q,100,Northern Forests,S,,43,1,0,0,0.49,1,0,0,
05DF003,2020,0,Q,22,Great Plains,S,,40,4,82,1.8,1.5,67,5,0.43,
05DF004,2020,0,Q,48,Northern Forests,S,,47,4,72,0,1.1,42,1,0.03,
05DF006,2020,0,Q,28,Great Plains,S,,43,4,98,1.8,1.4,59,2,0.031,
05DF007,2020,0,Q,21,Great Plains,S,,38,4,98,0,1.1,50,0,0,
05EA001,2020,0,Q,31,Great Plains,S,11,77,4,59,1.2,1.3,54,11,0.003,
05EA002,2020,0,Q,33,Northern Forests,S,4,26,4,50,0.98,1.3,49,8,0.003,
05EA005,2020,0,Q,28,Northern Forests,C,45,7,3,41,0,0.98,3,5,0.004,
05EA010,2020,0,Q,56,Northern Forests,S,,35,1,3.1,0,0.7,35,4,0,
05EB902,2020,0,Q,30,Great Plains,S,,35,4,28,0,1.8,48,1,0.002,
05EC002,2020,0,Q,18,Northern Forests,S,,50,3,67,0,0.86,2,0,0,
05EC005,2020,0,Q,12,Northern Forests,S,,36,3,73,0,0.94,57,2,0,
05ED002,2020,0,Q,10,Northern Forests,S,,39,3,68,0,0.91,35,2,0.003,
05EE005,2020,0,Q,17,Great Plains,S,,37,4,100,0,1.2,2,6,0.014,
05EE006,2020,1,Q,17,Great Plains,S,,38,3,81,0,0.8,2,3,0,
05EE009,2020,0,Q,6.4,Great Plains,S,,29,3,96,0,0.93,23,15,0,
05EF004,2020,0,Q,15,Northern Forests,S,,42,3,13,0,0.34,1,5,0.01,
05EF005,2020,0,Q,8.1,Great Plains,S,,46,4,93,0.55,1.3,28,37,0.009,
05EF006,2020,0,Q,23,Northern Forests,S,,38,3,46,0.14,0.55,23,0,0,
05EG004,2020,0,Q,17,Great Plains,S,,45,3,90,0,0.56,1,1,0,
05FA001,2020,0,Q,44,Northern Forests,C,55,10,4,60,0.26,1.1,10,7,0.002,
05FA012,2020,0,Q,20,Great Plains,S,,32,4,89,0,1.1,62,0,0,
05FA014,2020,0,Q,18,Great Plains,S,,41,4,99,0,1.2,23,0,0,
05FA024,2020,0,Q,11,Great Plains,S,,30,4,99,0.87,1.3,39,0,0,
05FB002,2020,1,Q,3.6,Great Plains,S,,50,3,96,0.01,0.89,23,19,0,
05FC002,2020,0,Q,19,Great Plains,S,,47,3,62,0,0.97,2,8,0,
05FC004,2020,0,Q,22,Great Plains,S,,33,3,41,0,0.88,2,5,0,
05FC007,2020,0,Q,20,Great Plains,S,,28,3,18,0,0.8,2,25,0,
05FE002,2020,0,Q,7,Great Plains,S,,43,3,99,0,0.91,2,0,0,
05FF003,2020,0,Q,15,Great Plains,S,,42,3,100,0,0.82,1,24,0.028,
05GA008,2020,0,Q,0.72,Great Plains,S,,43,1,5.2,0,0.48,1,174,0,
05GA010,2020,0,Q,0.85,Great Plains,S,,30,3,74,0.036,0.99,35,15,0,
05GA012,2020,0,Q,0.42,Great Plains,S,,31,1,4.9,0,0.5,1,149,0,
05GB004,2020,0,Q,4.5,Great Plains,S,,45,3,91,0,0.82,1,10,0,
05GC007,2020,1,Q,9.6,Great Plains,S,,56,3,100,0,0.95,23,2,0,
05GD002,2020,1,Q,17,Northern Forests,S,,35,3,21,0,0.59,1,2,0,
05GF001,2020,0,Q,14,Northern Forests,S,,50,3,40,0.024,0.68,23,6,0.056,
05GF002,2020,0,Q,19,Northern Forests,S,,49,3,43,0.012,0.61,23,9,0.029,
05GG010,2020,1,Q,27,Northern Forests,S,,50,3,50,0,0.56,2,0,0,
05HA015,2020,0,Q,8.5,Great Plains,S,,63,3,99,0,0.86,2,27,0,
05HD036,2020,1,Q,23,Northwest Forested Mountains,C,38,24,4,76,0,0.85,23,116,0.1,
05HE001,2020,1,Q,3.8,Great Plains,S,,46,3,62,0,0.77,2,51,0,
05HG021,2020,0,Q,9.1,Great Plains,S,,37,3,100,0,0.94,23,2,0,
05HH002,2020,0,Q,32,Northern Forests,S,,42,4,100,0,1.1,2,0,0,
05HH003,2020,0,Q,17,Great Plains,S,,40,4,100,0,1,,1,0,
05JA003,2020,0,Q,16,Great Plains,S,,48,4,93,0,0.84,2,55,0.13,
05JB004,2020,1,Q,11,Great Plains,S,,41,4,90,0,0.83,1,35,0.54,
05JB007,2020,0,Q,23,Great Plains,S,,39,3,98,0,0.74,2,6,0,
05JC004,2020,0,Q,18,Great Plains,S,,50,3,97,0,0.76,2,16,0,
05JC007,2020,0,Q,19,Great Plains,S,,42,4,97,0,1,1,13,0,
05JF011,2020,0,Q,14,Great Plains,S,,43,3,99,0,0.92,35,4,0.019,
05JF014,2020,0,Q,17,Great Plains,S,,38,4,99,0,1.4,24,5,0.002,
05JG001,2020,0,Q,3.7,Great Plains,S,,39,3,80,0,0.77,2,31,0.004,
05JG013,2020,0,Q,10,Great Plains,S,,46,4,97,0,1,2,11,0.21,
05JH005,2020,0,Q,5.8,Great Plains,S,,45,3,97,0,0.73,1,4,0,
05JJ009,2020,0,Q,0.35,Great Plains,S,,45,4,84,0.0037,0.79,2,122,1.6,
05JK008,2020,0,Q,15,Great Plains,S,,33,3,100,0,0.96,23,24,0.007,
05JM010,2020,0,Q,16,Great Plains,S,,48,4,95,0.037,0.84,23,17,0.4,
05KB003,2020,0,Q,20,Northern Forests,S,,60,4,88,0.034,0.86,23,34,1.1,
05KB006,2020,0,Q,40,Northern Forests,S,,49,3,89,0,0.74,2,0,0,
05KB011,2020,0,Q,47,Northern Forests,S,,40,3,92,0.12,0.93,42,0,0,
05KC001,2020,0,Q,25,Northern Forests,S,19,41,4,84,0.027,0.81,23,37,0.63,
05KE005,2020,0,Q,39,Northern Forests,S,,45,3,46,0,0.57,2,0,0,
05KE007,2020,0,Q,35,Northern Forests,S,,42,3,78,0,0.79,2,0,0,
05KE010,2020,0,Q,120,Northern Forests,C,23,,1,0,0,0.22,1,0,0,
05KF001,2020,0,Q,140,Northern Forests,C,22,17,1,0,0,0.076,1,0,0,
05KG007,2020,0,Q,100,Northern Forests,C,23,17,1,0,0,0.041,1,0,0,
05KH007,2020,0,Q,44,Northern Forests,C,47,1,4,66,0.021,0.66,23,37,0.49,
05KJ014,2020,1,Q,240,Northern Forests,S,,39,1,0,0,0.055,1,0,0,
05LA003,2020,0,Q,42,Northern Forests,S,,42,3,100,0,0.88,42,3,0,
05LB004,2020,0,Q,41,Northern Forests,S,,52,3,71,0,0.94,23,0,0,
05LB006,2020,0,Q,46,Northern Forests,S,,51,3,70,0,0.76,2,0,0,
05LB008,2020,0,Q,25,Northern Forests,S,,31,3,11,0,0.42,1,0,0,
05LB010,2020,0,Q,77,Northern Forests,S,,41,1,5.3,0,0.056,1,0,0,
05LC001,2020,0,Q,52,Northern Forests,C,43,20,3,42,0.05,0.5,2,10,0.03,
05LD001,2020,1,Q,98,Northern Forests,S,,60,2,0.92,0.013,0.064,1,2,0.94,
05LD003,2020,1,Q,120,Northern Forests,S,,40,1,0,0,0.017,1,1,0.061,
05LE004,2020,0,Q,76,Northern Forests,S,,62,3,35,0,0.34,2,0,0,
05LE005,2020,0,Q,88,Northern Forests,S,,52,3,35,0,0.36,2,0,0,
05LE006,2020,0,Q,49,Northern Forests,C,36,17,3,47,0.036,0.52,23,1,0.001,
05LE008,2020,0,Q,69,Northern Forests,C,25,26,3,16,0,0.2,1,0,0,
05LE010,2020,0,Q,180,Northern Forests,S,,28,1,1.3,0,0.18,2,0,0,
05LE011,2020,1,Q,67,Northern Forests,S,,42,3,48,0,0.54,1,0,0,
05LG004,2020,1,Q,190,Northern Forests,S,,46,1,1.7,0.013,0.14,1,0,0,
05LH005,2020,1,Q,51,Northern Forests,C,62,,4,24,0.022,0,2,26,9.4,
05LJ005,2020,1,Q,150,Northern Forests,S,3,80,1,8.5,0,0.18,1,0,0,
05LJ007,2020,0,Q,81,Great Plains,S,,67,3,40,0,0.56,2,2,0,
05LJ027,2020,0,Q,130,Northern Forests,S,,54,3,23,0,0.34,1,0,0,
05LJ045,2020,0,Q,78,Northern Forests,S,,36,3,60,0,0.54,2,0,0,
05LL014,2020,0,Q,33,Great Plains,C,44,5,4,72,0,1.1,3,0,0,
05LL015,2020,0,Q,49,Great Plains,S,,46,3,53,0,0.68,2,1,0.001,
05LL027,2020,1,Q,98,Northern Forests,S,,38,3,15,0,0.42,2,0,0,
05MA020,2020,0,Q,29,Great Plains,S,,41,3,100,0,0.93,23,0,0,
