,,"Note 1: RHBN-N = 1, RHBN-U = 0","Note 2: Q=flow gauge, H=level gauge","Note 3: Yield is the annual average depth of water, in mm, that exits the watershed via the streamgauge location. Also called 'runoff depth'.","Note 4: Official names for the Commission for Environmental Cooperation Terrestrial Ecoregions Level I. Common names are as follows: Northwestern Forested Mountains = Rockies, Northern Forests = Boreal, Great Plains = Prairies.","Note 5: Whether the station met the minimum of 20 years with C = continuous, or full year, data, or with S = seasonal data.",Note 6: Years with less than 5% missing daily data.,Note 6: Years with less than 5% missing daily data.,Note 7: Overal watershed quality where 1 is the most desirable.,Note 8: Percent of the watershed covered by either urban or agricultural land.,,Note 9: Road density as km of roads for each km^2 of watershed.,"Note 10: Canadian population density. ""US"" denotes stations that have watershed areas outside of Canada.",Note 11: Flow structures include small dams/berms/farm ponds in Canada and the US.,Note 12: Percentage of watershed covered by reservoir area associated with Flow.Structures.,Note 13: Presence and name of dam within the Global Reservoir and Dam database (GRanD).
05MA021,2020,1,Q,39,Great Plains,S,,44,4,100,0.37,1.1,13,1,0,
05MA025,2020,0,Q,36,Great Plains,S,,30,3,100,0,0.9,23,0,0,
05MC001,2020,0,Q,41,Northern Forests,S,,72,3,38,0.057,0.62,2,1,0,
05MC002,2020,0,Q,30,Northern Forests,S,,60,3,97,0,0.96,2,0,0,
05MC003,2020,0,Q,49,Northern Forests,S,,48,3,37,0.22,0.75,2,0,0,
05MD005,2020,0,Q,54,Northern Forests,C,57,10,3,27,0,0.36,2,0,0,
05MD010,2020,0,Q,22,Great Plains,S,,46,4,96,0,1,2,0,0,
05ME003,2020,0,Q,56,Northern Forests,S,,62,3,38,0,0.4,23,0,0,
05ME005,2020,0,Q,40,Great Plains,S,,49,3,89,0,0.66,2,0,0,
05ME007,2020,0,Q,23,Great Plains,S,,42,3,95,0,0.84,35,0,0,
05MF001,2020,0,Q,55,Northern Forests,C,57,16,4,33,0.066,0.52,2,13,0.19,
05MF008,2020,0,Q,61,Northern Forests,C,28,19,3,21,0,0.4,2,1,0,
05MG001,2020,0,Q,16,Great Plains,S,,41,3,98,0,0.78,2,5,0.051,
05MG003,2020,0,Q,22,Great Plains,S,,41,3,98,0,0.72,2,6,0,
05MH006,2020,0,Q,18,Great Plains,S,,39,3,91,0,0.89,23,0,0,
05MH007,2020,0,Q,18,Great Plains,S,,47,3,18,0.12,0.35,35,0,0,
05MH008,2020,0,Q,55,Great Plains,S,,48,4,100,0,1.1,35,0,0,
05NB033,2020,0,Q,16,Great Plains,S,,23,3,94,0,0.96,1,1,0,
05NB035,2020,0,Q,15,Great Plains,S,,25,3,79,0,0.7,1,3,0,
05ND011,2020,0,Q,5.6,Great Plains,S,,25,4,100,0,1,1,3,0,
05NE003,2020,0,Q,11,Great Plains,S,,44,3,91,0,0.77,2,27,0.063,
05NF002,2020,1,Q,4.3,Great Plains,S,19,53,3,95,0.025,0.92,2,23,0.013,
05NF006,2020,1,Q,13,Great Plains,S,,43,3,100,0.12,0.91,23,5,0,
05NF008,2020,0,Q,7.9,Great Plains,S,,60,3,100,0,0.78,2,5,0,
05NF010,2020,1,Q,12,Great Plains,S,,52,3,81,0,0.74,2,1,0,
05NG010,2020,0,Q,18,Great Plains,C,23,20,3,95,0,0.78,2,15,0.018,
05NG012,2020,0,Q,18,Great Plains,S,,38,3,97,0,0.81,2,3,0.051,
05NG020,2020,0,Q,8.3,Great Plains,S,,34,3,77,0,0.68,23,7,0.001,
05OA007,2020,0,Q,25,Great Plains,C,25,28,4,98,0,0,71,10,0.16,
05OB010,2020,0,Q,31,Great Plains,S,,45,3,99,0,0.21,71,2,0.02,
05OB016,2020,0,Q,30,Great Plains,C,55,1,3,100,0,0,71,3,0.016,
05OB021,2020,0,Q,50,Great Plains,C,29,24,3,100,0.31,0,71,0,0,
05OC016,2020,0,Q,41,Great Plains,S,,42,4,99,0.45,1.2,39,68,0.062,
05OC019,2020,0,Q,38,Great Plains,S,,38,3,100,0.11,0.89,71,2,0.001,
05OC022,2020,0,Q,75,Great Plains,S,,33,3,100,0,0.82,71,0,0,
05OE004,2020,1,Q,92,Northern Forests,C,36,15,1,0.11,0.11,0.44,2,0,0,
05OE006,2020,0,Q,50,Great Plains,S,,38,4,79,0.61,1.4,54,0,0,
05OE007,2020,0,Q,72,Great Plains,S,,34,3,44,0,0.9,3,0,0,
05OE009,2020,0,Q,40,Great Plains,S,,32,3,47,0,0.9,10,0,0,
05OE010,2020,0,Q,96,Great Plains,S,,30,4,97,0,1.1,2,0,0,
05OF009,2020,0,Q,64,Great Plains,S,,39,4,97,0,1,35,0,0,
05OF011,2020,0,Q,42,Great Plains,S,,34,4,99,0,1.1,42,1,0,
05OF014,2020,1,Q,45,Great Plains,S,,53,3,99,0,0.97,23,11,0.002,
05OF017,2020,1,Q,72,Great Plains,S,,50,3,100,0,0.8,23,0,0,
05OF018,2020,0,Q,37,Great Plains,S,,34,3,97,0,0.75,2,0,0,
05OF020,2020,0,Q,34,Great Plains,S,,31,4,98,0.03,1.1,42,8,0.058,
05OH007,2020,0,Q,85,Northern Forests,S,,40,3,23,0,0.68,62,0,0,
05OJ008,2020,0,Q,54,Northern Forests,S,,52,4,49,0.062,1,50,0,0,
05OJ016,2020,0,Q,81,Northern Forests,S,,41,4,73,0.27,1.2,3,0,0,
05OJ017,2020,0,Q,34,Great Plains,S,,34,4,95,0.9,1.3,38,0,0,
05PB014,2020,1,Q,260,Northern Forests,C,92,5,1,0,0,0.36,1,1,0,
05PB018,2020,0,Q,270,Northern Forests,C,32,,1,0,0,0.49,1,0,0,
05PH003,2020,1,Q,130,Northern Forests,C,60,14,1,2.9,0,0.19,1,0,0,
05QA004,2020,0,Q,280,Northern Forests,C,55,,2,0.016,0.016,0.34,1,2,4.4,
05QE008,2020,1,Q,230,Northern Forests,C,47,,1,0,0,0.24,1,0,0,
05QE009,2020,0,Q,200,Northern Forests,C,53,1,1,0,0,0.11,1,3,0,
05QE012,2020,0,Q,210,Northern Forests,C,37,,1,0,0,0.077,1,9,0.001,
05RA001,2020,1,Q,150,Northern Forests,C,44,3,1,0,0,0.039,1,0,0,
05RB003,2020,0,Q,190,Northern Forests,C,39,1,1,0,0,0.001,1,8,0.014,
05RC001,2020,0,Q,270,Northern Forests,C,27,,1,0,0,0.004,1,0,0,
05RE002,2020,0,H,,Northern Forests,C,32,,1,0,0,0.01,,1,0,
05SA002,2020,1,Q,71,Northern Forests,C,36,37,1,8.4,0.0013,0.33,23,2,0,
05SC002,2020,0,Q,47,Northern Forests,S,,45,3,49,0,0.8,35,3,0,
05SD003,2020,0,Q,34,Northern Forests,C,35,7,3,23,0,0.51,23,1,0,
05TD001,2020,1,Q,130,Northern Forests,C,51,,1,0.014,0.014,0.04,1,3,0.061,
05TE002,2020,0,Q,130,Northern Forests,C,30,,1,0,0,0,1,0,0,
05TF002,2020,0,Q,160,Northern Forests,C,27,2,1,0,0,0.02,1,0,0,
05TG002,2020,1,Q,180,Northern Forests,C,37,3,1,0,0,0.022,1,0,0,
05TG003,2020,1,Q,180,Northern Forests,C,36,,1,0,0,0.009,1,0,0,
05TG006,2020,0,Q,180,Northern Forests,C,22,1,1,0,0,0.016,1,0,0,
05UA003,2020,0,Q,130,Northern Forests,C,35,2,1,0,0,0.01,1,0,0,
05UF004,2020,1,Q,210,Northern Forests,C,45,1,1,0.1,0.1,0.012,2,0,0,
05UG001,2020,0,Q,200,Taiga,C,40,2,1,0.013,0.013,0,1,0,0,
05UH001,2020,1,Q,230,Hudson Plains,C,27,,1,0,0,0.01,1,0,0,
05UH002,2020,1,Q,230,Taiga,C,32,1,1,0,0,0,1,0,0,
06AA001,2020,0,Q,19,Northern Forests,S,,49,1,7.2,0,0.46,23,2,0,
06AB001,2020,0,Q,67,Northern Forests,S,,47,1,0.062,0.046,0.035,1,0,0,
06AB002,2020,1,Q,45,Northern Forests,C,24,20,1,0.29,0.29,0.12,1,0,0,
06AD001,2020,0,Q,30,Northern Forests,C,24,37,1,9.4,0.08,0.38,23,9,0,
06AD006,2020,1,Q,39,Northern Forests,C,61,,1,9.8,0.11,0.39,23,3,0,
06AD008,2020,0,Q,44,Northern Forests,S,,38,3,25,0,0.64,2,0,0,
06AD010,2020,0,Q,22,Northern Forests,S,17,29,1,4.8,0.061,0.23,23,2,0,
06AD011,2020,0,Q,48,Northern Forests,S,,39,1,0.0049,0,0.091,1,0,0,
06AF001,2020,0,Q,76,Northern Forests,C,30,2,1,0.041,0.037,0.046,2,0,0,
06AG001,2020,0,Q,32,Northern Forests,C,25,20,1,8.1,0.048,0.29,2,17,0.076,
06AG002,2020,1,Q,38,Northern Forests,C,42,,1,0,0,0.059,1,0,0,
06BA002,2020,0,Q,120,Northern Forests,C,43,,1,0,0,0.005,1,0,0,
06BB003,2020,0,Q,53,Northern Forests,C,32,,1,4.6,0.032,0,2,17,0.043,
06BB005,2020,0,Q,72,Northern Forests,C,42,,1,0,0,0.067,1,0,0,
06BD001,2020,1,Q,160,Northern Forests,C,46,,1,0,0,0.023,1,1,0,
06CD002,2020,1,Q,75,Northern Forests,C,53,,1,3.1,0.021,0,2,22,0.083,
06DA001,2020,1,H,,Northern Forests,C,42,,1,0.0054,0.0054,0.01,,0,0,
06DA002,2020,0,Q,180,Northern Forests,C,32,3,1,0.0032,0.0032,0.011,1,0,0,
06DA004,2020,1,Q,180,Northern Forests,C,50,,1,0.012,0.012,0.007,1,0,0,
06DA005,2020,0,Q,180,Northern Forests,C,40,,1,0.03,0.03,0.016,1,0,0,
06DC001,2020,0,Q,180,Northern Forests,C,40,1,1,0,0,0.01,1,0,0,
06FA001,2020,0,Q,200,Northern Forests,C,30,,1,0,0,0,1,0,0,
06FB002,2020,1,Q,220,Taiga,C,41,,1,0,0,0,1,0,0,
06FC001,2020,0,Q,200,Northern Forests,C,34,,1,0,0,0,1,0,0,
06FD002,2020,0,Q,260,Taiga,C,24,1,1,0,0,0,1,1,0,
06GD001,2020,1,Q,240,Taiga,C,47,,1,0,0,0.006,1,0,0,
06HB002,2020,0,Q,250,Taiga,C,31,6,1,0,0,0,1,0,0,
06JB001,2020,1,Q,170,Taiga,C,20,1,1,0,0,0,1,0,0,
06JC002,2020,0,Q,150,Taiga,C,38,4,1,0,0,0,1,0,0,
06KC003,2020,1,Q,170,Taiga,C,27,1,1,0,0,0,1,0,0,
06LA001,2020,1,Q,200,Taiga,C,40,3,1,0,0,0,1,0,0,
06LC001,2020,1,Q,200,Taiga,C,43,5,1,0,0,0,1,0,0,
06MA006,2020,0,Q,190,Taiga,C,29,2,1,0,0,0,1,0,0,
07AA001,2020,1,Q,530,Northwest Forested Mountains,C,46,3,1,0,0,0.044,1,0,0,
07AA002,2020,1,Q,710,Northwest Forested Mountains,C,60,4,1,0.032,0.032,0.072,2,2,0.009,
07AA007,2020,1,Q,1400,Northwest Forested Mountains,S,,37,1,0,0,0,1,0,0,
07AC001,2020,0,Q,240,Northwest Forested Mountains,S,,50,1,0,0,0.038,1,0,0,
07AC007,2020,0,Q,200,Northern Forests,S,,24,1,0,0,0.22,1,0,0,
07AC008,2020,0,Q,330,Northwest Forested Mountains,S,,30,1,0,0,0,1,0,0,
07AD002,2020,0,Q,560,Northwest Forested Mountains,C,54,1,2,0.047,0.047,0.066,2,2,0.004,40 Mile
07AF002,2020,0,Q,240,Northern Forests,C,62,,1,0,0,0.33,1,2,0.003,
07AF003,2020,0,Q,300,Northwest Forested Mountains,S,,45,1,0,0,0.23,1,0,0,
07AF010,2020,1,Q,140,Northern Forests,S,,44,1,0,0,0.4,1,0,0,
07AF013,2020,0,Q,390,Northwest Forested Mountains,S,,32,1,0,0,0.15,1,1,0.021,
07AF014,2020,0,Q,170,Northern Forests,S,,31,1,0,0,0.35,1,0,0,
07AF015,2020,0,Q,250,Northwest Forested Mountains,S,,31,1,0,0,0.28,1,1,0.002,
07AG003,2020,1,Q,150,Northern Forests,C,57,2,1,0,0,0.4,1,0,0,
07AG004,2020,0,Q,160,Northern Forests,S,1,45,1,0.83,0.11,0.42,23,7,0.001,
07AG007,2020,0,Q,180,Northern Forests,C,30,1,1,0.17,0.13,0.41,23,2,0.001,
07AG008,2020,0,Q,170,Northern Forests,S,,29,1,0,0,0.12,1,0,0,
07AH001,2020,0,Q,170,Northern Forests,S,,49,2,0.61,0.3,0.53,2,3,0.21,
07AH002,2020,1,Q,79,Northern Forests,S,,44,1,0,0,0.34,1,0,0,
07AH003,2020,0,Q,160,Northern Forests,S,,43,1,0,0,0.34,1,0,0,
07BA002,2020,0,Q,130,Northern Forests,S,,43,1,0,0,0.48,1,0,0,
07BB002,2020,1,Q,140,Northern Forests,C,69,1,1,0.2,0.048,0.54,1,0,0,
07BB005,2020,0,Q,80,Northern Forests,S,,53,3,26,0,0.85,23,0,0,
07BB011,2020,0,Q,86,Northern Forests,S,,35,1,8.3,0,0.34,2,0,0,
07BB014,2020,0,Q,34,Northern Forests,S,,35,4,22,0,1.3,23,0,0,
07BC006,2020,0,Q,19,Northern Forests,S,,43,3,48,0,0.62,2,1,0,
07BC007,2020,0,Q,20,Northern Forests,S,,35,4,96,0.87,1.1,19,1,0.001,
07BE003,2020,1,Q,46,Northern Forests,S,,33,1,1.3,0,0.25,2,0,0,
07BE004,2020,0,Q,21,Northern Forests,S,,33,3,17,0,0.71,2,0,0,
07BF001,2020,0,Q,160,Northern Forests,S,,67,1,1.1,0,0.12,1,0,0,
07BF002,2020,0,Q,120,Northern Forests,C,44,22,1,1.3,0.081,0.11,2,0,0,
07BF009,2020,0,Q,40,Northern Forests,S,,30,1,0,0,0.17,1,0,0,
07BG004,2020,1,Q,170,Northern Forests,S,,29,1,0,0,0.094,1,0,0,
07BJ001,2020,1,Q,220,Northern Forests,C,46,10,1,0.01,0,0.45,1,2,0.049,
07BJ003,2020,0,Q,320,Northern Forests,S,,45,1,0,0,0.34,1,0,0,
07BJ006,2020,0,H,,Northern Forests,C,33,,1,3.9,0.051,0.23,,5,0.076,
07BK001,2020,0,Q,92,Northern Forests,C,47,6,1,4,0.044,0.23,2,5,0.076,
07BK005,2020,0,Q,110,Northern Forests,S,,45,1,0,0,0.075,1,0,0,
07BK007,2020,0,Q,99,Northern Forests,C,44,3,2,0,0,0.14,1,1,1.7,
07BK009,2020,0,Q,240,Northern Forests,S,,38,1,0.026,0.026,0.018,23,0,0,
07CA003,2020,0,Q,29,Northern Forests,S,,42,1,8.9,0,0.54,2,0,0,
07CA005,2020,0,Q,24,Northern Forests,S,,47,3,25,0.025,0.58,23,2,0,
07CA006,2020,0,Q,91,Northern Forests,C,25,19,1,1.6,0,0.13,1,0,0,
07CA008,2020,0,Q,14,Northern Forests,S,,38,1,6.8,0,0.36,23,0,0,
07CA012,2020,0,Q,110,Northern Forests,S,,33,1,0,0,0.085,1,0,0,
07CA013,2020,0,Q,60,Northern Forests,S,,32,1,0,0,0.1,1,2,0,
07CB002,2020,0,Q,130,Northern Forests,S,,34,1,0,0,0.039,1,0,0,
07CD001,2020,1,Q,120,Northern Forests,C,58,,1,0.0082,0.0082,0.035,1,0,0,
07CD004,2020,0,Q,130,Northern Forests,S,20,27,1,0.3,0.3,0.15,23,0,0,
07CD005,2020,0,Q,140,Northern Forests,C,24,21,1,0,0,0.01,1,0,0,
07CE002,2020,0,Q,100,Northern Forests,S,4,30,1,0,0,0.071,1,0,0,
07CE003,2020,0,Q,100,Northern Forests,S,,32,1,0,0,0.026,1,0,0,
07DA006,2020,0,Q,120,Northern Forests,S,17,25,1,0,0,0,1,0,0,
07DA008,2020,0,Q,82,Northern Forests,S,17,25,1,0,0,0.073,1,0,0,
07DA018,2020,0,Q,99,Northern Forests,S,15,26,1,0,0,0,1,0,0,
07DB001,2020,0,Q,76,Northern Forests,S,18,25,1,0,0,0.004,1,0,0,
07DC001,2020,0,Q,140,Northern Forests,S,16,25,1,0,0,0.006,1,0,0,
07DD002,2020,1,Q,180,Northern Forests,S,16,31,1,0,0,0.018,1,0,0,
07EA004,2020,0,Q,440,Northwest Forested Mountains,C,37,,1,0,0,0.001,1,0,0,
07EA005,2020,0,Q,530,Northwest Forested Mountains,C,36,,1,0,0,0.003,1,1,0,
07EA007,2020,0,Q,570,Northwest Forested Mountains,C,32,,1,0,0,0,1,0,0,
07EB002,2020,0,Q,580,Northwest Forested Mountains,C,35,,1,0,0,0,1,0,0,
07EC002,2020,1,Q,530,Northwest Forested Mountains,C,41,,2,0,0,0.009,1,2,0.32,
07EC003,2020,0,Q,490,Northwest Forested Mountains,C,41,,1,0,0,0,1,0,0,
07EC004,2020,0,Q,580,Northwest Forested Mountains,C,35,,1,0,0,0,1,0,0,
07ED003,2020,0,Q,390,Northwest Forested Mountains,C,34,,1,0,0,0.028,1,4,0,
07EE007,2020,1,Q,950,Northwest Forested Mountains,C,47,,1,0,0,0.005,1,0,0,
07EE009,2020,1,Q,520,Northwest Forested Mountains,C,38,3,1,0,0,0.14,1,0,0,
07EE010,2020,0,Q,370,Northwest Forested Mountains,C,35,,1,0,0,0.098,1,0,0,
07FA003,2020,0,Q,290,Northwest Forested Mountains,C,20,,1,0,0,0.001,1,0,0,
07FA005,2020,0,Q,350,Northwest Forested Mountains,C,31,,1,0,0,0.001,1,0,0,
07FA006,2020,0,Q,240,Northwest Forested Mountains,C,31,,1,0.0065,0,0.023,1,0,0,
07FB001,2020,1,Q,490,Northwest Forested Mountains,C,52,2,1,0.094,0.061,0.07,2,5,0,
07FB002,2020,0,Q,480,Northwest Forested Mountains,C,37,,1,0.043,0.043,0.043,1,3,0,
07FB003,2020,0,Q,670,Northwest Forested Mountains,C,37,,1,0,0,0.015,1,1,0,
07FB004,2020,1,Q,230,Northwest Forested Mountains,C,35,,1,0,0,0,1,0,0,
07FB006,2020,0,Q,760,Northwest Forested Mountains,C,36,,1,0,0,0.004,1,1,0,
07FB008,2020,1,Q,240,Northwest Forested Mountains,C,34,,1,0,0,0.078,2,1,0,
07FB009,2020,0,Q,260,Northwest Forested Mountains,C,30,,1,0,0,0.064,1,0,0,
07FC001,2020,0,Q,110,Northern Forests,C,49,1,1,2.8,0.022,0.089,2,3,0.002,
07FC003,2020,1,Q,95,Northern Forests,C,47,,1,0.037,0.037,0.072,1,0,0,
07FD001,2020,0,Q,91,Northern Forests,C,53,3,1,1.7,0,0.16,1,0,0,
07FD006,2020,0,Q,60,Northern Forests,S,,48,3,23,0,0.54,1,0,0,
07FD007,2020,0,Q,75,Northern Forests,C,38,1,3,11,0.22,0.56,57,1,0,
07FD009,2020,0,Q,55,Northern Forests,S,,42,3,21,0.012,0.34,1,0,0,
07FD011,2020,1,Q,41,Northern Forests,S,,40,1,0,0,0.13,1,0,0,
07FD012,2020,0,Q,43,Northern Forests,S,,39,3,17,0,0.36,1,2,0,
07FD013,2020,0,Q,32,Northern Forests,S,,40,3,48,0,0.55,2,0,0,
07GA001,2020,0,Q,640,Northwest Forested Mountains,S,17,30,1,0.077,0.077,0.021,2,0,0,
07GA002,2020,0,Q,270,Northwest Forested Mountains,S,15,27,1,0,0,0.17,1,0,0,
07GB003,2020,0,Q,340,Northwest Forested Mountains,S,,21,1,0,0,0.1,1,0,0,
07GC002,2020,0,Q,110,Northern Forests,S,,26,1,0,0,0.36,1,0,0,
07GD001,2020,0,Q,46,Northern Forests,S,7,40,3,26,0.0019,0.65,23,0,0,
07GD004,2020,0,Q,140,Northern Forests,C,23,,1,2.5,0,0.15,1,0,0,
07GE001,2020,0,Q,270,Northern Forests,C,54,,1,9.4,0.0032,0.28,2,0,0,
07GE003,2020,0,Q,64,Northern Forests,S,,46,3,35,0,0.69,23,0,0,
07GE007,2020,0,Q,40,Northern Forests,S,,32,4,60,0,1,2,0,0,
07GF001,2020,0,Q,170,Northern Forests,S,16,30,1,7.2,0,0.21,1,0,0,
07GG001,2020,1,Q,140,Northern Forests,C,44,3,1,0,0,0.2,1,0,0,
07GG002,2020,0,Q,180,Northern Forests,S,,46,1,0.057,0.057,0.29,1,0,0,
07GG003,2020,0,Q,150,Northern Forests,S,,47,1,0.2,0.2,0.29,2,0,0,
07GH002,2020,0,Q,130,Northern Forests,C,54,,1,5.4,0.061,0.32,2,1,0,
07GH004,2020,0,Q,26,Northern Forests,S,,31,3,70,0.13,0.7,35,1,0,
07GJ001,2020,0,Q,210,Northern Forests,C,65,3,3,12,0.069,0,23,9,0,
07HA003,2020,0,Q,47,Northern Forests,C,44,8,3,22,0,0.3,1,0,0,
07HA005,2020,0,Q,79,Northern Forests,S,15,30,1,4.1,0,0.18,1,0,0,
07HB001,2020,0,Q,28,Northern Forests,S,,31,1,0.12,0.12,0.16,2,1,0,
07HC001,2020,0,Q,88,Northern Forests,C,53,1,1,0.36,0.02,0.019,1,0,0,
07HC002,2020,0,Q,32,Northern Forests,S,,32,3,32,0,0.48,2,0,0,
07HF002,2020,0,Q,96,Northern Forests,S,7,37,1,6.9,0,0.099,1,2,0,
07JA003,2020,0,Q,120,Northern Forests,S,,31,1,0,0,0.097,1,0,0,
07JC001,2020,1,Q,48,Northern Forests,S,,41,1,0,0,0,1,0,0,
07JC002,2020,0,Q,60,Northern Forests,S,,28,1,0.026,0.026,0.092,1,0,0,
07JD002,2020,0,Q,70,Northern Forests,C,44,2,1,0.028,0.028,0.097,1,0,0,
07JD003,2020,0,Q,81,Northern Forests,S,,43,1,0,0,0.071,2,0,0,
07JF002,2020,1,Q,14,Northern Forests,S,,54,1,6.5,0,0.13,2,2,0,
07JF003,2020,0,Q,130,Taiga,S,,51,1,0.87,0,0.01,1,0,0,
07KE001,2020,1,Q,100,Northern Forests,S,19,30,1,0,0,0,1,0,0,
07LB002,2020,0,Q,210,Northern Forests,C,41,1,1,0,0,0.007,1,0,0,
07LE002,2020,1,Q,180,Northern Forests,C,50,1,1,0,0,0,1,1,0,
07MA003,2020,0,Q,180,Northern Forests,C,40,,1,0,0,0.034,1,0,0,
07MB001,2020,0,Q,180,Northern Forests,C,49,1,1,0,0,0,1,0,0,
07OA001,2020,1,Q,60,Taiga,S,,46,1,0,0,0.011,1,0,0,
07OB001,2020,1,Q,67,Taiga,C,53,1,2,0.002,0.0017,0,1,1,0,Hutch Lake
07OB003,2020,1,Q,66,Taiga,S,,42,2,0.0028,0.0023,0.061,1,1,0,Hutch Lake
07OB004,2020,0,Q,70,Taiga,S,,42,1,0,0,0.014,1,0,0,
07OB006,2020,0,Q,66,Taiga,S,,39,1,0,0,0.002,1,0,0,
07OC001,2020,0,Q,85,Northern Forests,C,45,2,1,0.011,0.0087,0.02,1,0,0,
07QD002,2020,0,H,,Taiga,C,40,,1,0,0,0,,0,0,
07RD001,2020,1,Q,140,Taiga,C,52,1,1,0,0,0.008,1,0,0,
07SA002,2020,0,Q,130,Taiga,C,33,1,1,0,0,0.001,1,0,0,
07SA004,2020,0,Q,130,Taiga,C,38,,1,0,0,0,1,0,0,
07SB010,2020,1,Q,51,Taiga,C,40,,1,0,0,0.037,1,1,0,
07SB013,2020,1,Q,56,Taiga,C,31,,1,0,0,0.01,1,0,0,
07SB017,2020,0,H,,Taiga,C,20,,1,0,0,0.04,,1,0,
07SC002,2020,0,Q,100,Taiga,C,21,1,1,0,0,0,1,0,0,
07TA001,2020,0,Q,79,Taiga,C,40,,1,0,0,0.002,1,0,0,
08AA007,2020,0,H,,Northwest Forested Mountains,C,23,,1,0,0,0,,0,0,
08AA008,2020,0,Q,140,Northwest Forested Mountains,C,33,,1,0,0,0,1,0,0,
08AA009,2020,1,Q,100,Northwest Forested Mountains,C,35,,1,0,0,0.04,1,0,0,
08AC001,2020,1,Q,360,Northwest Forested Mountains,C,31,,1,0,0,0,1,0,0,
08AC002,2020,0,Q,530,Northwest Forested Mountains,C,26,,1,0,0,0.046,1,0,0,
08BB005,2020,1,Q,730,Northwest Forested Mountains,C,26,3,1,0,0,0,1,0,0,
08CD001,2020,1,Q,330,Northwest Forested Mountains,C,50,,1,0,0,0.002,1,0,0,
08CE001,2020,0,Q,440,Northwest Forested Mountains,C,52,7,1,0,0,0.007,1,0,0,
08CF003,2020,0,Q,980,Northwest Forested Mountains,C,31,2,1,0,0,0,1,0,0,
08CG001,2020,1,Q,1500,Northwest Forested Mountains,C,52,3,1,0,0,0,1,0,0,
08DA005,2020,1,Q,2300,Marine West Coast Forests,C,48,1,1,0,0,0,1,0,0,
08DB001,2020,1,Q,1300,Marine West Coast Forests,C,62,10,1,0,0,0.022,1,0,0,
08DB013,2020,1,Q,1200,Marine West Coast Forests,C,20,,1,0,0,0,1,0,0,
08DB014,2020,0,Q,1000,Marine West Coast Forests,C,20,,1,0,0,0,1,0,0,
08EB004,2020,1,Q,750,Marine West Coast Forests,C,50,1,1,0,0,0.088,1,0,0,
08EB005,2020,0,Q,920,Northwest Forested Mountains,C,33,,1,0,0,0,1,0,0,
08ED001,2020,1,Q,1200,Northwest Forested Mountains,C,44,3,1,0,0,0,1,0,0,
08ED002,2020,0,Q,1200,Northwest Forested Mountains,C,55,,1,0,0,0.01,1,0,0,
08EE003,2020,0,Q,180,Northwest Forested Mountains,S,7,24,1,0.14,0.14,0.17,23,6,0.003,
08EE004,2020,0,Q,580,Northwest Forested Mountains,C,70,11,1,0.046,0.046,0.093,2,6,0.001,
08EE008,2020,1,Q,440,Northwest Forested Mountains,C,53,,1,0,0,0.049,1,0,0,
08EE012,2020,1,Q,590,Northwest Forested Mountains,C,40,2,1,0,0,0.34,8,0,0,
08EE013,2020,0,Q,250,Northwest Forested Mountains,C,42,,1,0.042,0.042,0.12,2,2,0,
08EE020,2020,0,Q,1200,Northwest Forested Mountains,C,41,,1,0,0,0.004,1,0,0,
08EE025,2020,1,Q,180,Northwest Forested Mountains,C,34,,1,0,0,0,1,0,0,
08EF001,2020,0,Q,680,Northwest Forested Mountains,C,76,7,2,0.018,0.018,0.06,2,13,0.047,Fulton River
08EF005,2020,0,Q,1200,Marine West Coast Forests,C,53,,1,0,0,0.014,1,0,0,
08EG012,2020,1,Q,3700,Marine West Coast Forests,C,52,1,1,0,0,0,1,0,0,
08FA002,2020,0,Q,2600,Marine West Coast Forests,C,57,3,1,0,0,0,1,0,0,
08FB004,2020,0,Q,1800,Marine West Coast Forests,C,41,3,1,0,0,0,2,0,0,
08FB006,2020,1,Q,340,Northwest Forested Mountains,C,40,5,1,0,0,0.02,1,0,0,
08FC003,2020,0,Q,140,Northwest Forested Mountains,C,44,3,1,0,0,0.069,1,0,0,
